Population,Generation,Strain ID,Mutator,Reference,Facility,Accession,Read Type,Read Length,Sequencing Depth,Analysis Notes
Ara+2,40000,REL10951,None,W13,Genoscope,SRR2086097,single,36,84.4,
Ara+2,50000,REL11342,None,This study,Genoscope,SRR2584665,single,51,753.9,
Ara+2,50000,REL11343,None,This study,IntraGen,SRR2588645,paired,101,122.5,
Ara+3,500,REL770A,None,This study,MSU RTSF,SRR2588658,paired,150,151.9,
Ara+3,500,REL770B,None,This study,MSU RTSF,SRR2584668,paired,150,275.8,
Ara+3,1000,REL960A,None,This study,MSU RTSF,SRR2584669,paired,150,156.2,
Ara+3,1000,REL960B,None,This study,MSU RTSF,SRR2591034,paired,150,125.4,Possibly nonclonal: 2 mutations at ~40% not included and 1 mutation at 60% included
Ara+3,1500,REL1064A,None,This study,MSU RTSF,SRR2584671,paired,150,243.4,
Ara+3,1500,REL1064B,None,This study,MSU RTSF,SRR2591035,paired,150,91.1,
Ara+3,2000,REL1160A,None,This study,MSU RTSF,SRR2584673,paired,150,99.2,
Ara+3,2000,REL1160B,None,This study,MSU RTSF,SRR2588711,paired,150,155.5,
Ara+3,5000,REL2175A,PM,This study,MSU RTSF,SRR2584677,paired,150,63.4,
Ara+3,5000,REL2175B,PM,This study,MSU RTSF,SRR2584678,paired,150,60.4,
Ara+3,10000,REL4532A,PM,This study,MSU RTSF,SRR2591036,paired,150,39.1,
Ara+3,10000,REL4532B,PM,This study,MSU RTSF,SRR2591037,paired,150,62.0,
Ara+3,15000,REL7185A,PM,This study,MSU RTSF,SRR2584681,paired,150,43.0,
Ara+3,15000,REL7185B,PM,This study,MSU RTSF,SRR2584682,paired,150,52.4,
Ara+3,20000,REL8602A,PM,This study,MSU RTSF,SRR2584683,paired,150,65.6,
Ara+3,20000,REL8602B,PM,This study,MSU RTSF,SRR2584684,paired,150,111.9,
Ara+3,30000,REL10410,PM,This study,MSU RTSF,SRR2584685,paired,150,98.7,
Ara+3,30000,REL10411,PM,This study,MSU RTSF,SRR2588848,paired,150,69.6,
Ara+3,40000,REL10953,PM,R14,Genoscope,SRR1536189,single,36,107.6,
Ara+3,40000,REL10954,PM,This study,Genoscope,SRR2584694,single,36,108.5,
Ara+3,50000,REL11345,PM,This study,Genoscope,SRR2584696,single,51,624.6,
Ara+3,50000,REL11346,PM,This study,MSU RTSF,SRR2591038,paired,150,170.9,
Ara+4,500,REL771A,None,This study,IntraGen,SRR2584697,paired,101,114.2,
Ara+4,500,REL771B,None,This study,IntraGen,SRR2584698,paired,101,130.8,
Ara+4,1000,REL961A,None,This study,IntraGen,SRR2588900,paired,101,95.5,
Ara+4,1000,REL961B,None,This study,IntraGen,SRR2588923,paired,101,104.0,
Ara+4,1500,REL1065A,None,This study,IntraGen,SRR2588946,paired,101,71.4,
Ara+4,1500,REL1065B,None,This study,IntraGen,SRR2584702,paired,101,88.2,
Ara+4,2000,REL1161A,None,This study,IntraGen,SRR2584703,paired,101,71.3,
Ara+4,2000,REL1161B,None,This study,IntraGen,SRR2584705,paired,101,74.8,
Ara+4,5000,REL2176A,None,This study,IntraGen,SRR2584706,paired,101,62.0,
Ara+4,5000,REL2176B,None,This study,IntraGen,SRR2588991,paired,101,135.7,
Ara+4,10000,REL4533A,None,This study,IntraGen,SRR2584708,paired,101,78.2,
Ara+4,10000,REL4533B,None,This study,IntraGen,SRR2588992,paired,101,101.9,
Ara+4,15000,REL7186A,None,This study,IntraGen,SRR2584710,paired,101,79.6,
Ara+4,15000,REL7186B,None,This study,IntraGen,SRR2588993,paired,101,64.9,
Ara+4,20000,REL8603A,None,This study,IntraGen,SRR2584712,paired,101,99.4,
Ara+4,20000,REL8603B,None,This study,IntraGen,SRR2591039,paired,101,122.3,
Ara+4,30000,REL10414,None,This study,IntraGen,SRR2584714,paired,101,96.5,Possibly nonclonal: 1 mutation at ~50% not included
Ara+4,30000,REL10415,None,This study,IntraGen,SRR2588995,paired,101,108.2,
Ara+4,40000,REL10956,None,W13,Genoscope,SRR2086098,single,36,86.2,
Ara+4,40000,REL10957,None,W13,Genoscope,SRR2086148,single,36,92.6,
Ara+4,50000,REL11348,None,This study,Genoscope,SRR2584774,single,51,921.4,
Ara+4,50000,REL11349,None,This study,IntraGen,SRR2591040,paired,101,106.3,
Ara+5,500,REL772A,None,This study,Genoscope,SRR2584776,single,36,27.8,
Ara+5,500,REL772B,None,This study,Genoscope,SRR2584777,single,36,56.0,
Ara+5,1000,REL962A,None,This study,Genoscope,SRR2584778,single,36,58.0,
Ara+5,1000,REL962B,None,This study,Genoscope,SRR2584779,single,36,52.4,
Ara+5,1500,REL1066A,None,This study,Genoscope,SRR2584780,single,36,59.1,
Ara+5,1500,REL1066B,None,This study,Genoscope,SRR2584781,single,36,57.1,
Ara+5,2000,REL1162A,None,This study,Genoscope,SRR2584782,single,36,59.4,
Ara+5,2000,REL1162B,None,This study,Genoscope,SRR2584784,single,36,58.9,
Ara+5,5000,REL2177A,None,This study,Genoscope,SRR2584785,single,36,51.9,
Ara+5,5000,REL2177B,None,This study,Genoscope,SRR2584786,single,36,70.2,
Ara+5,10000,REL4534A,None,This study,Genoscope,SRR2584787,single,36,73.2,
Ara+5,10000,REL4534B,None,This study,Genoscope,SRR2584811,single,36,68.4,
Ara+5,15000,REL7187A,None,This study,Genoscope,SRR2584812,single,36,72.1,
Ara+5,15000,REL7187B,None,This study,Genoscope,SRR2584813,single,36,74.6,
Ara+5,20000,REL8604A,None,This study,Genoscope,SRR2584814,single,36,72.9,
Ara+5,20000,REL8604B,None,This study,Genoscope,SRR2584815,single,36,46.3,
Ara+5,30000,REL10432,None,This study,Genoscope,SRR2584816,single,36,54.4,
Ara+5,30000,REL10433,None,This study,Genoscope,SRR2584820,single,36,55.8,
Ara+5,40000,REL10982,None,W13,Genoscope,SRR2086149,single,36,55.4,
Ara+5,40000,REL10983,None,W13,Genoscope,SRR2086150,single,36,64.9,
Ara+5,50000,REL11367,None,This study,Genoscope,SRR2584821,single,51,618.5,
Ara+5,50000,REL11368,None,This study,IntraGen,SRR2584822,paired,101,100.6,
Ara+6,500,REL773A,None,This study,Genoscope,SRR2584823,single,36,80.7,
Ara+6,500,REL773B,None,This study,Genoscope,SRR2584824,single,36,73.2,
Ara+6,1000,REL963A,None,This study,Genoscope,SRR2584825,single,36,78.2,
Ara+6,1000,REL963B,None,This study,Genoscope,SRR2584826,single,36,79.7,
Ara+6,1500,REL1067A,None,This study,Genoscope,SRR2584827,single,36,75.5,
Ara+6,1500,REL1067B,None,This study,Genoscope,SRR2584828,single,36,58.2,
Ara+6,2000,REL1163A,None,This study,Genoscope,SRR2584829,single,36,62.9,
Ara+6,2000,REL1163B,None,This study,Genoscope,SRR2584831,single,36,83.9,
Ara+6,5000,REL2178A,None,This study,Genoscope,SRR2584832,single,36,86.1,
Ara+6,5000,REL2178B,None,This study,Genoscope,SRR2584833,single,36,66.1,
Ara+6,10000,REL4535A,PM,This study,Genoscope,SRR2584834,single,36,67.9,
Ara+6,10000,REL4535B,PM,This study,Genoscope,SRR2584835,single,36,77.8,
Ara+6,15000,REL7188A,PM,This study,Genoscope,SRR2584836,single,36,128.4,Possibly nonclonal: Included one mutation present at ~60%
Ara+6,15000,REL7188B,PM,This study,Genoscope,SRR2584837,single,36,66.4,
Ara+6,20000,REL8605A,PM,This study,Genoscope,SRR2584838,single,36,73.9,
Ara+6,20000,REL8605B,PM,This study,Genoscope,SRR2584839,single,36,84.0,
Ara+6,30000,REL10417,PM,This study,Genoscope,SRR2584840,single,36,106.2,
Ara+6,30000,REL10418,PM,This study,Genoscope,SRR2584842,single,36,94.0,Possibly nonclonal: Did not include deletion of prophage region present at ~70%
Ara+6,40000,REL10985,PM,R14,Genoscope,SRR1536190,single,36,41.5,
Ara+6,40000,REL10986,PM,This study,Genoscope,SRR2584843,single,36,34.7,
Ara+6,50000,REL11370,PM,This study,Genoscope,SRR2584844,single,51,697.5,
Ara+6,50000,REL11371,PM,This study,IntraGen,SRR2588999,paired,101,61.2,
Ara-1,500,REL762B,None,This study,IntraGen,SRR2591031,paired,101,76.1,
Ara-1,500,REL762C,None,This study,IntraGen,SRR2588223,paired,101,62.1,
Ara-1,1000,REL964B,None,This study,IntraGen,SRR2584817,paired,101,100.7,
Ara-1,1000,REL964C,None,This study,IntraGen,SRR2584854,paired,101,84.2,Possibly nonclonal: 1 of 2 mutations at ~50% included
Ara-1,1500,REL1068B,None,This study,IntraGen,SRR2591042,paired,101,103.8,
Ara-1,1500,REL1068C,None,This study,IntraGen,SRR2584876,paired,101,95.3,
Ara-1,2000,REL1164A,None,B09,MSU RTSF,SRR030253,paired,36,53.9,
Ara-1,2000,REL1164B,None,W13,Genoscope,ERR051713,single,36,38.1,
Ara-1,5000,REL2179A,None,B09,MSU RTSF,SRR030254,paired,36,63.4,
Ara-1,5000,REL2179B,None,W13,Genoscope,ERR051724,single,36,182.8,
Ara-1,10000,REL4536A,None,B09,MSU RTSF,SRR030255,paired,36,60.1,
Ara-1,10000,REL4536B,None,W13,Genoscope,ERR051718,single,36,70.5,
Ara-1,15000,REL7177A,None,B09,MSU RTSF,SRR030256,paired,36,60.3,
Ara-1,15000,REL7177B,None,W13,Genoscope,ERR051719,single,36,75.7,
Ara-1,20000,REL8593A,None,B09,MSU RTSF,SRR030257,paired,36,54.8,
Ara-1,20000,REL8593B,None,W13,Genoscope,ERR051714,single,36,35.6,
Ara-1,30000,REL10391,PM,W13,Genoscope,ERR051722,single,36,76.7,
Ara-1,30000,REL10392,PM,W13,Genoscope,ERR051721,single,36,70.1,
Ara-1,40000,REL10938,PM,B09,MSU RTSF,SRR030258,paired,36,60.7,
Ara-1,40000,REL10939,PM,W13,Genoscope,ERR051717,single,36,74.6,
Ara-1,50000,REL11330,PM,This study,Genoscope,SRR2584887,single,50,823.6,
Ara-1,50000,REL11331,PM,This study,IntraGen,SRR2591047,paired,101,99.0,
Ara-2,500,REL763A,None,This study,MSU RTSF,SRR2591050,paired,150,154.3,
Ara-2,500,REL763B,None,This study,MSU RTSF,SRR2589073,paired,150,216.6,
Ara-2,1000,REL965A,None,This study,MSU RTSF,SRR2584405,paired,150,92.5,
Ara-2,1000,REL965B,None,This study,MSU RTSF,SRR2584465,paired,150,177.2,
Ara-2,1500,REL1069A,None,This study,MSU RTSF,SRR2591033,paired,150,91.6,
Ara-2,1500,REL1069B,None,This study,MSU RTSF,SRR2584612,paired,150,118.9,
Ara-2,2000,REL1165A,None,This study,Genoscope,SRR2584664,single,36,35.9,
Ara-2,2000,REL11829,None,This study,Genoscope,SRR2584676,single,36,36.5,Alternative strain ID: 2000.4
Ara-2,5000,REL2180A,PM,This study,Genoscope,SRR2584693,single,36,103.4,
Ara-2,5000,REL2180B,PM,This study,Genoscope,SRR2584704,single,36,43.3,
Ara-2,10000,REL4537A,PM,This study,MSU RTSF,SRR2584715,paired,150,39.8,
Ara-2,10000,REL4537B,PM,This study,MSU RTSF,SRR2584783,paired,150,33.3,
Ara-2,15000,REL7178A,PM,This study,MSU RTSF,SRR2584819,paired,150,53.9,
Ara-2,15000,REL7178B,PM,This study,MSU RTSF,SRR2584830,paired,150,46.0,
Ara-2,20000,REL11830,PM,This study,Genoscope,SRR2584841,single,36,119.5,Alternative strain ID: 20K-S1
Ara-2,20000,REL11831,PM,This study,Genoscope,SRR2584846,single,36,116.9,Alternative strain ID: 20K-LA
Ara-2,30000,REL11832,PM,This study,Genoscope,SRR2584847,single,36,94.7,Alternative strain ID: 30K-S1
Ara-2,30000,REL11833,PM,This study,Genoscope,SRR2584848,single,36,119.2,Alternative strain ID: 30K-L1
Ara-2,40000,REL11035,PM,R14,Genoscope,SRR1536187,single,36,117.9,
Ara-2,40000,REL11036,PM,M15,Genoscope,SRR2086152,single,36,97.0,Possibly nonclonal: 5 mutations at ~40% not included
Ara-2,50000,REL11333,PM,This study,Genoscope,SRR2584849,single,51,770.9,
Ara-2,50000,REL11335,PM,This study,Genoscope,SRR2584851,single,51,707.7,
Ara-3,500,REL764A,None,This study,IntraGen,SRR2584852,paired,101,113.4,
Ara-3,500,REL764B,None,This study,IntraGen,SRR2584853,paired,101,82.4,
Ara-3,1000,REL966A,None,This study,IntraGen,SRR2589001,paired,101,67.3,
Ara-3,1000,REL966B,None,This study,IntraGen,SRR2584856,paired,101,101.2,
Ara-3,1500,REL1070A,None,This study,IntraGen,SRR2584857,paired,101,92.0,
Ara-3,1500,REL1070B,None,This study,IntraGen,SRR2584858,paired,101,102.4,
Ara-3,2000,REL1166A,None,This study,IntraGen,SRR2584859,paired,101,85.9,
Ara-3,2000,REL1166B,None,This study,MSU RTSF,SRR2591041,paired,150,108.5,Possibly nonclonal: 2 of 3 mutations at ~50% included
Ara-3,5000,REL2181A,None,This study,MSU RTSF,SRR2589044,paired,150,60.2,
Ara-3,5000,ZDB409,None,B12,MSU RTSF,SRR098281,single,35,144.2,
Ara-3,10000,REL4538A,None,This study,MSU RTSF,SRR2589045,paired,150,99.5,Possibly nonclonal: IS150 mutation in metL at ~35% included because of strong support from phylogeny
Ara-3,10000,ZDB429,None,B12,MSU RTSF,SRR098282,single,35,87.3,
Ara-3,15000,ZDB446,None,B12,MSU RTSF,SRR098283,single,35,141.1,
Ara-3,15000,REL7179B,None,This study,MSU RTSF,SRR2584863,paired,150,88.0,
Ara-3,20000,ZDB458,None,B12,MSU RTSF,SRR098284,single,35,126.8,
Ara-3,20000,ZDB464,None,B12,MSU RTSF,SRR098285,single,36,29.7,
Ara-3,30000,ZDB16,None,B12,MSU RTSF,SRR098031,single,35,113.9,
Ara-3,30000,ZDB357,None,B12,MSU RTSF,SRR098280,single,35,111.2,
Ara-3,40000,REL10979,PM,B12,MSU RTSF,SRR098029,single,36,30.1,
Ara-3,40000,REL10988,IS,B12,MSU RTSF,SRR098030,single,36,30.2,
Ara-3,50000,REL11364,PM,This study,MSU RTSF,SRR2584864,single,51,156.6,
Ara-3,50000,REL11365,PM,This study,MSU RTSF,SRR2584866,paired,150,138.3,
Ara-4,500,REL765A,None,This study,MSU RTSF,SRR2584867,paired,150,62.0,
Ara-4,500,REL765B,None,This study,MSU RTSF,SRR2584868,paired,150,228.4,
Ara-4,1000,REL967A,None,This study,MSU RTSF,SRR2584869,paired,150,122.1,
Ara-4,1000,REL967B,None,This study,MSU RTSF,SRR2584870,paired,150,175.7,
Ara-4,1500,REL1071A,None,This study,MSU RTSF,SRR2584871,paired,150,94.7,
Ara-4,1500,REL1071B,None,This study,MSU RTSF,SRR2591043,paired,150,120.2,
Ara-4,2000,REL1167A,None,This study,MSU RTSF,SRR2584873,paired,150,107.2,
Ara-4,2000,REL1167B,None,This study,MSU RTSF,SRR2584874,paired,150,158.5,
Ara-4,5000,REL2182A,None,This study,MSU RTSF,SRR2591044,paired,150,73.2,
Ara-4,5000,REL2182B,None,This study,MSU RTSF,SRR2589049,paired,150,166.0,
Ara-4,10000,REL4539A,PM,This study,MSU RTSF,SRR2584878,paired,150,105.1,
Ara-4,10000,REL4539B,PM,This study,MSU RTSF,SRR2589050,paired,150,63.4,
Ara-4,15000,REL7180A,PM,This study,MSU RTSF,SRR2591045,paired,150,37.1,
Ara-4,15000,REL7180B,PM,This study,MSU RTSF,SRR2584881,paired,150,48.3,
Ara-4,20000,REL8596A,PM,This study,MSU RTSF,SRR2584882,paired,150,84.3,
Ara-4,20000,REL8596B,PM,This study,MSU RTSF,SRR2584883,paired,150,67.8,
Ara-4,30000,REL10401,PM,This study,MSU RTSF,SRR2584884,paired,150,93.4,
Ara-4,30000,REL10402,PM,This study,MSU RTSF,SRR2584885,paired,150,70.6,
Ara-4,40000,REL10944,PM,R14,Genoscope,SRR1536188,single,36,65.8,
Ara-4,40000,REL10945,PM,This study,Genoscope,SRR2584886,single,36,118.0,
Ara-4,50000,REL11336,PM,This study,Genoscope,SRR2584888,single,51,858.7,
Ara-4,50000,REL11337,PM,This study,MSU RTSF,SRR2584889,paired,150,78.7,
Ara-5,500,REL766A,None,This study,IntraGen,SRR2589054,paired,101,66.5,
Ara-5,500,REL766B,None,This study,IntraGen,SRR2589055,paired,101,122.0,
Ara-5,1000,REL968A,None,This study,IntraGen,SRR2591046,paired,101,54.4,
Ara-5,1000,REL968B,None,This study,IntraGen,SRR2584893,paired,101,107.0,
Ara-5,1500,REL1072A,None,This study,IntraGen,SRR2584894,paired,101,66.3,
Ara-5,1500,REL1072B,None,This study,IntraGen,SRR2589057,paired,101,86.3,
Ara-5,2000,REL1168A,None,This study,IntraGen,SRR2589058,paired,101,80.6,
Ara-5,2000,REL1168B,None,This study,IntraGen,SRR2589059,paired,101,50.8,
Ara-5,5000,REL2183A,None,This study,IntraGen,SRR2584899,paired,101,72.1,
Ara-5,5000,REL2183B,None,This study,IntraGen,SRR2584900,paired,101,75.6,
Ara-5,10000,REL4540A,None,This study,IntraGen,SRR2589061,paired,101,102.5,
Ara-5,10000,REL4540B,None,This study,IntraGen,SRR2589062,paired,101,80.2,
Ara-5,15000,REL7181A,None,This study,IntraGen,SRR2591048,paired,101,94.8,
Ara-5,15000,REL7181B,None,This study,IntraGen,SRR2591049,paired,101,84.9,
Ara-5,20000,REL8597A,None,This study,IntraGen,SRR2584905,paired,101,87.3,
Ara-5,20000,REL8597B,None,This study,IntraGen,SRR2589064,paired,101,106.1,
Ara-5,30000,REL10404,IS,This study,IntraGen,SRR2589065,paired,101,72.5,
Ara-5,30000,REL10405,None,This study,IntraGen,SRR2584908,paired,101,100.4,
Ara-5,40000,REL10947,None,W13,MSU RTSF,SRR2085290,single,36,60.2,
Ara-5,40000,REL10948,None,W13,MSU RTSF,SRR2086039,single,35,203.4,
Ara-5,50000,REL11339,None,This study,Genoscope,SRR2584927,single,51,1026.2,
Ara-5,50000,REL11340,None,This study,IntraGen,SRR2589067,paired,101,117.3,
Ara-6,500,REL767A,None,This study,IntraGen,SRR2584929,paired,101,96.4,
Ara-6,500,REL767B,None,This study,IntraGen,SRR2589068,paired,101,117.4,
Ara-6,1000,REL969A,None,This study,IntraGen,SRR2584931,paired,101,55.5,
Ara-6,1000,REL969B,None,This study,IntraGen,SRR2584932,paired,101,48.4,
Ara-6,1500,REL1073A,None,This study,IntraGen,SRR2591051,paired,101,90.9,
Ara-6,1500,REL1073B,None,This study,IntraGen,SRR2584934,paired,101,65.2,
Ara-6,2000,REL1169A,None,This study,IntraGen,SRR2589071,paired,101,64.9,
Ara-6,2000,REL1169B,None,This study,IntraGen,SRR2584936,paired,101,87.6,
Ara-6,5000,REL2184A,None,This study,IntraGen,SRR2584938,paired,101,89.9,
Ara-6,5000,REL2184B,None,This study,IntraGen,SRR2591052,paired,101,120.4,
Ara-6,10000,REL4541A,None,This study,IntraGen,SRR2591053,paired,101,96.8,
Ara-6,10000,REL4541B,None,This study,IntraGen,SRR2591054,paired,101,105.0,
Ara-6,15000,REL7182A,None,This study,IntraGen,SRR2584942,paired,101,91.0,
Ara-6,15000,REL7182B,None,This study,IntraGen,SRR2584943,paired,101,84.6,
Ara-6,20000,REL8598A,None,This study,IntraGen,SRR2589074,paired,101,106.1,
Ara-6,20000,REL8598B,None,This study,IntraGen,SRR2584978,paired,101,91.8,
Ara-6,30000,REL10447,None,This study,IntraGen,SRR2584979,paired,101,88.4,
Ara-6,30000,REL10448,None,This study,IntraGen,SRR2589077,paired,101,97.1,
Ara-6,40000,REL11005,None,W13,Genoscope,SRR2086041,single,36,96.0,
Ara-6,40000,REL11006,None,W13,Genoscope,SRR2086042,single,36,119.3,
Ara-6,50000,REL11389,None,This study,Genoscope,SRR2584407,single,51,625.4,
Ara-6,50000,REL11390,None,This study,MSU RTSF,SRR2584406,paired,150,66.1,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
